Premise 1,Premise 2,Inferred,Gemini Response,Pattern
ferrarri InstanceOf car,car AtLocation car park,ferrarri AtLocation car park,yes,InstanceOf_AtLocation
ferrarri InstanceOf car,car AtLocation highway,ferrarri AtLocation highway,yes,InstanceOf_AtLocation
ferrarri InstanceOf car,car AtLocation race track,ferrarri AtLocation race track,yes,InstanceOf_AtLocation
ferrarri InstanceOf car,car AtLocation park zone,ferrarri AtLocation park zone,yes,InstanceOf_AtLocation
ferrarri InstanceOf car,car AtLocation car supermarket,ferrarri AtLocation car supermarket,yes,InstanceOf_AtLocation
ferrarri InstanceOf car,car AtLocation scrapyard,ferrarri AtLocation scrapyard,yes,InstanceOf_AtLocation
ferrarri InstanceOf car,car AtLocation packinglot,ferrarri AtLocation packinglot,yes,InstanceOf_AtLocation
ferrarri InstanceOf car,car AtLocation town,ferrarri AtLocation town,yes,InstanceOf_AtLocation
ferrarri InstanceOf car,car AtLocation need repair,ferrarri AtLocation need repair,yes,InstanceOf_AtLocation
ferrarri InstanceOf car,car AtLocation street corner,ferrarri AtLocation street corner,yes,InstanceOf_AtLocation
ferrarri InstanceOf car,car AtLocation parade,ferrarri AtLocation parade,yes,InstanceOf_AtLocation
ferrarri InstanceOf car,car AtLocation bridge,ferrarri AtLocation bridge,yes,InstanceOf_AtLocation
ferrarri InstanceOf car,car AtLocation corner two street,ferrarri AtLocation corner two street,yes,InstanceOf_AtLocation
ferrarri InstanceOf car,car AtLocation junkyard,ferrarri AtLocation junkyard,yes,InstanceOf_AtLocation
ferrarri InstanceOf car,car AtLocation gas station,ferrarri AtLocation gas station,yes,InstanceOf_AtLocation
ferrarri InstanceOf car,car AtLocation junk yard,ferrarri AtLocation junk yard,yes,InstanceOf_AtLocation
ferrarri InstanceOf car,car AtLocation bottom lake,ferrarri AtLocation bottom lake,yes,InstanceOf_AtLocation
ferrarri InstanceOf car,car AtLocation city,ferrarri AtLocation city,yes,InstanceOf_AtLocation
ferrarri InstanceOf car,car AtLocation neighbor house,ferrarri AtLocation neighbor house,yes,InstanceOf_AtLocation
ferrarri InstanceOf car,car AtLocation scrap heap,ferrarri AtLocation scrap heap,yes,InstanceOf_AtLocation
ferrarri InstanceOf car,car AtLocation traffic,ferrarri AtLocation traffic,yes,InstanceOf_AtLocation
ferrarri InstanceOf car,car AtLocation smelter,ferrarri AtLocation smelter,yes,InstanceOf_AtLocation
ferrarri InstanceOf car,car AtLocation interstate,ferrarri AtLocation interstate,yes,InstanceOf_AtLocation
ferrarri InstanceOf car,car AtLocation rest area,ferrarri AtLocation rest area,yes,InstanceOf_AtLocation
ferrarri InstanceOf car,car AtLocation any large city,ferrarri AtLocation any large city,yes,InstanceOf_AtLocation
ferrarri InstanceOf car,car AtLocation new york,ferrarri AtLocation new york,yes,InstanceOf_AtLocation
ferrarri InstanceOf car,car AtLocation london,ferrarri AtLocation london,yes,InstanceOf_AtLocation
ferrarri InstanceOf car,car AtLocation earth,ferrarri AtLocation earth,yes,InstanceOf_AtLocation
ferrarri InstanceOf car,car AtLocation outer space,ferrarri AtLocation outer space,yes,InstanceOf_AtLocation
ferrarri InstanceOf car,car AtLocation outerspace,ferrarri AtLocation outerspace,yes,InstanceOf_AtLocation
ferrarri InstanceOf car,car AtLocation train station,ferrarri AtLocation train station,yes,InstanceOf_AtLocation
ferrarri InstanceOf car,car AtLocation subway,ferrarri AtLocation subway,yes,InstanceOf_AtLocation
ferrarri InstanceOf car,car AtLocation hardware store,ferrarri AtLocation hardware store,yes,InstanceOf_AtLocation
ferrarri InstanceOf car,car AtLocation winery,ferrarri AtLocation winery,yes,InstanceOf_AtLocation
ferrarri InstanceOf car,car AtLocation park,ferrarri AtLocation park,yes,InstanceOf_AtLocation
ferrarri InstanceOf car,car AtLocation ground,ferrarri AtLocation ground,yes,InstanceOf_AtLocation
ferrarri InstanceOf car,car AtLocation kitchen,ferrarri AtLocation kitchen,yes,InstanceOf_AtLocation
ferrarri InstanceOf car,car AtLocation airport,ferrarri AtLocation airport,yes,InstanceOf_AtLocation
ferrarri InstanceOf car,car AtLocation competitive activity,ferrarri AtLocation competitive activity,yes,InstanceOf_AtLocation
ferrarri InstanceOf car,car AtLocation country,ferrarri AtLocation country,yes,InstanceOf_AtLocation
ferrarri InstanceOf car,car AtLocation build,ferrarri AtLocation build,yes,InstanceOf_AtLocation
ferrarri InstanceOf car,car AtLocation countryside,ferrarri AtLocation countryside,yes,InstanceOf_AtLocation
ferrarri InstanceOf car,car AtLocation store,ferrarri AtLocation store,yes,InstanceOf_AtLocation
ferrarri InstanceOf car,car AtLocation iraq,ferrarri AtLocation iraq,yes,InstanceOf_AtLocation
ferrarri InstanceOf car,car AtLocation sport event,ferrarri AtLocation sport event,yes,InstanceOf_AtLocation
ferrarri InstanceOf car,car AtLocation space,ferrarri AtLocation space,yes,InstanceOf_AtLocation
ferrarri InstanceOf car,car AtLocation shower,ferrarri AtLocation shower,yes,InstanceOf_AtLocation
ferrarri InstanceOf car,car AtLocation cupboard,ferrarri AtLocation cupboard,yes,InstanceOf_AtLocation
ferrarri InstanceOf car,car AtLocation pocket,ferrarri AtLocation pocket,yes,InstanceOf_AtLocation
ferrarri InstanceOf car,car AtLocation party,ferrarri AtLocation party,yes,InstanceOf_AtLocation
ferrarri InstanceOf car,car AtLocation stadium,ferrarri AtLocation stadium,yes,InstanceOf_AtLocation
ferrarri InstanceOf car,car AtLocation desk,ferrarri AtLocation desk,yes,InstanceOf_AtLocation
ferrarri InstanceOf car,car AtLocation house,ferrarri AtLocation house,yes,InstanceOf_AtLocation
ferrarri InstanceOf car,car AtLocation cabinet,ferrarri AtLocation cabinet,yes,InstanceOf_AtLocation
ferrarri InstanceOf car,car AtLocation outside,ferrarri AtLocation outside,yes,InstanceOf_AtLocation
ferrarri InstanceOf car,car AtLocation museum,ferrarri AtLocation museum,yes,InstanceOf_AtLocation
ferrarri InstanceOf car,car AtLocation street,ferrarri AtLocation street,yes,InstanceOf_AtLocation
ferrarri InstanceOf car,car AtLocation new jersey,ferrarri AtLocation new jersey,yes,InstanceOf_AtLocation
ferrarri InstanceOf car,car AtLocation drive-in movie,ferrarri AtLocation drive-in movie,yes,InstanceOf_AtLocation
ferrarri InstanceOf car,car AtLocation street city,ferrarri AtLocation street city,yes,InstanceOf_AtLocation
ferrarri InstanceOf car,car AtLocation eiffel tower,ferrarri AtLocation eiffel tower,yes,InstanceOf_AtLocation
ferrarri InstanceOf car,car AtLocation phoenix,ferrarri AtLocation phoenix,yes,InstanceOf_AtLocation
asimo InstanceOf robot,robot AtLocation space shuttle,asimo AtLocation space shuttle,yes,InstanceOf_AtLocation
asimo InstanceOf robot,robot AtLocation movie star war,asimo AtLocation movie star war,yes,InstanceOf_AtLocation
asimo InstanceOf robot,robot AtLocation science fiction,asimo AtLocation science fiction,yes,InstanceOf_AtLocation
asimo InstanceOf robot,robot AtLocation factory,asimo AtLocation factory,yes,InstanceOf_AtLocation
asimo InstanceOf robot,robot AtLocation laboratory,asimo AtLocation laboratory,yes,InstanceOf_AtLocation
asimo InstanceOf robot,robot AtLocation manufacture plant,asimo AtLocation manufacture plant,yes,InstanceOf_AtLocation
asimo InstanceOf robot,robot AtLocation mar,asimo AtLocation mar,yes,InstanceOf_AtLocation
asimo InstanceOf robot,robot AtLocation city,asimo AtLocation city,yes,InstanceOf_AtLocation
asimo InstanceOf robot,robot AtLocation town,asimo AtLocation town,yes,InstanceOf_AtLocation
asimo InstanceOf robot,robot AtLocation garage,asimo AtLocation garage,yes,InstanceOf_AtLocation
bump chicken InstanceOf rock band,rock band AtLocation concert,bump chicken AtLocation concert,yes,InstanceOf_AtLocation
walkie talkie InstanceOf toy,toy AtLocation child bedroom,walkie talkie AtLocation child bedroom,yes,InstanceOf_AtLocation
walkie talkie InstanceOf toy,toy AtLocation shop,walkie talkie AtLocation shop,yes,InstanceOf_AtLocation
walkie talkie InstanceOf toy,toy AtLocation bed,walkie talkie AtLocation bed,yes,InstanceOf_AtLocation
walkie talkie InstanceOf toy,toy AtLocation basement,walkie talkie AtLocation basement,yes,InstanceOf_AtLocation
walkie talkie InstanceOf toy,toy AtLocation floor,walkie talkie AtLocation floor,yes,InstanceOf_AtLocation
walkie talkie InstanceOf toy,toy AtLocation closet,walkie talkie AtLocation closet,yes,InstanceOf_AtLocation
walkie talkie InstanceOf toy,toy AtLocation corner,walkie talkie AtLocation corner,yes,InstanceOf_AtLocation
walkie talkie InstanceOf toy,toy AtLocation back sofa,walkie talkie AtLocation back sofa,yes,InstanceOf_AtLocation
walkie talkie InstanceOf toy,toy AtLocation toy box,walkie talkie AtLocation toy box,yes,InstanceOf_AtLocation
walkie talkie InstanceOf toy,toy AtLocation toy chest,walkie talkie AtLocation toy chest,yes,InstanceOf_AtLocation
walkie talkie InstanceOf toy,toy AtLocation store,walkie talkie AtLocation store,yes,InstanceOf_AtLocation
walkie talkie InstanceOf toy,toy AtLocation party,walkie talkie AtLocation party,yes,InstanceOf_AtLocation
walkie talkie InstanceOf toy,toy AtLocation table,walkie talkie AtLocation table,yes,InstanceOf_AtLocation
walkie talkie InstanceOf toy,toy AtLocation drawer,walkie talkie AtLocation drawer,yes,InstanceOf_AtLocation
walkie talkie InstanceOf toy,toy AtLocation shelf,walkie talkie AtLocation shelf,yes,InstanceOf_AtLocation
walkie talkie InstanceOf toy,toy AtLocation kindergarden,walkie talkie AtLocation kindergarden,yes,InstanceOf_AtLocation
walkie talkie InstanceOf toy,toy AtLocation toydroor,walkie talkie AtLocation toydroor,yes,InstanceOf_AtLocation
walkie talkie InstanceOf toy,toy AtLocation rug,walkie talkie AtLocation rug,yes,InstanceOf_AtLocation
walkie talkie InstanceOf toy,toy AtLocation children's room,walkie talkie AtLocation children's room,yes,InstanceOf_AtLocation
walkie talkie InstanceOf toy,toy AtLocation child room,walkie talkie AtLocation child room,yes,InstanceOf_AtLocation
walkie talkie InstanceOf toy,toy AtLocation toy store,walkie talkie AtLocation toy store,yes,InstanceOf_AtLocation
walkie talkie InstanceOf toy,toy AtLocation chest,walkie talkie AtLocation chest,yes,InstanceOf_AtLocation
walkie talkie InstanceOf toy,toy AtLocation christmas stocking,walkie talkie AtLocation christmas stocking,yes,InstanceOf_AtLocation
walkie talkie InstanceOf toy,toy AtLocation kid bedroom,walkie talkie AtLocation kid bedroom,yes,InstanceOf_AtLocation
walkie talkie InstanceOf toy,toy AtLocation kid box,walkie talkie AtLocation kid box,yes,InstanceOf_AtLocation
walkie talkie InstanceOf toy,toy AtLocation kid store,walkie talkie AtLocation kid store,yes,InstanceOf_AtLocation
walkie talkie InstanceOf toy,toy AtLocation nursery,walkie talkie AtLocation nursery,yes,InstanceOf_AtLocation
walkie talkie InstanceOf toy,toy AtLocation play room,walkie talkie AtLocation play room,yes,InstanceOf_AtLocation
srilanka InstanceOf war,war AtLocation far away,srilanka AtLocation far away,yes,InstanceOf_AtLocation
srilanka InstanceOf war,war AtLocation street,srilanka AtLocation street,yes,InstanceOf_AtLocation
srilanka InstanceOf war,war AtLocation battle,srilanka AtLocation battle,yes,InstanceOf_AtLocation
srilanka InstanceOf war,war AtLocation country,srilanka AtLocation country,yes,InstanceOf_AtLocation
fuji InstanceOf apple,apple AtLocation market,fuji AtLocation market,yes,InstanceOf_AtLocation
fuji InstanceOf apple,apple AtLocation apple orchard,fuji AtLocation apple orchard,yes,InstanceOf_AtLocation
fuji InstanceOf apple,apple AtLocation apple pie,fuji AtLocation apple pie,yes,InstanceOf_AtLocation
fuji InstanceOf apple,apple AtLocation table,fuji AtLocation table,yes,InstanceOf_AtLocation
fuji InstanceOf apple,apple AtLocation apple tree,fuji AtLocation apple tree,yes,InstanceOf_AtLocation
fuji InstanceOf apple,apple AtLocation grocery store,fuji AtLocation grocery store,yes,InstanceOf_AtLocation
fuji InstanceOf apple,apple AtLocation fridge,fuji AtLocation fridge,yes,InstanceOf_AtLocation
fuji InstanceOf apple,apple AtLocation produce section supermarket,fuji AtLocation produce section supermarket,yes,InstanceOf_AtLocation
fuji InstanceOf apple,apple AtLocation toffee apple,fuji AtLocation toffee apple,yes,InstanceOf_AtLocation
fuji InstanceOf apple,apple AtLocation horse mouth,fuji AtLocation horse mouth,yes,InstanceOf_AtLocation
fuji InstanceOf apple,apple AtLocation refrigerator,fuji AtLocation refrigerator,yes,InstanceOf_AtLocation
fuji InstanceOf apple,apple AtLocation greengrocer,fuji AtLocation greengrocer,yes,InstanceOf_AtLocation
fuji InstanceOf apple,apple AtLocation house,fuji AtLocation house,yes,InstanceOf_AtLocation
fuji InstanceOf apple,apple AtLocation dinner,fuji AtLocation dinner,yes,InstanceOf_AtLocation
fuji InstanceOf apple,apple AtLocation apartment,fuji AtLocation apartment,yes,InstanceOf_AtLocation
fuji InstanceOf apple,apple AtLocation home,fuji AtLocation home,yes,InstanceOf_AtLocation
fuji InstanceOf apple,apple AtLocation forest,fuji AtLocation forest,yes,InstanceOf_AtLocation
fuji InstanceOf apple,apple AtLocation resturant,fuji AtLocation resturant,yes,InstanceOf_AtLocation
fuji InstanceOf apple,apple AtLocation kitchen,fuji AtLocation kitchen,yes,InstanceOf_AtLocation
fuji InstanceOf apple,apple AtLocation fair,fuji AtLocation fair,yes,InstanceOf_AtLocation
fuji InstanceOf apple,apple AtLocation party,fuji AtLocation party,yes,InstanceOf_AtLocation
fuji InstanceOf apple,apple AtLocation earth surface,fuji AtLocation earth surface,yes,InstanceOf_AtLocation
fuji InstanceOf apple,apple AtLocation wed,fuji AtLocation wed,yes,InstanceOf_AtLocation
fuji InstanceOf apple,apple AtLocation concert,fuji AtLocation concert,yes,InstanceOf_AtLocation
fuji InstanceOf apple,apple AtLocation mall,fuji AtLocation mall,yes,InstanceOf_AtLocation
fuji InstanceOf apple,apple AtLocation subway,fuji AtLocation subway,yes,InstanceOf_AtLocation
fuji InstanceOf apple,apple AtLocation boat,fuji AtLocation boat,yes,InstanceOf_AtLocation
fuji InstanceOf apple,apple AtLocation street,fuji AtLocation street,yes,InstanceOf_AtLocation
fuji InstanceOf apple,apple AtLocation zoo,fuji AtLocation zoo,yes,InstanceOf_AtLocation
fuji InstanceOf apple,apple AtLocation garage,fuji AtLocation garage,yes,InstanceOf_AtLocation
fuji InstanceOf apple,apple AtLocation field,fuji AtLocation field,yes,InstanceOf_AtLocation
fuji InstanceOf apple,apple AtLocation cupboard,fuji AtLocation cupboard,yes,InstanceOf_AtLocation
fuji InstanceOf apple,apple AtLocation winery,fuji AtLocation winery,yes,InstanceOf_AtLocation
fuji InstanceOf apple,apple AtLocation bed,fuji AtLocation bed,yes,InstanceOf_AtLocation
fuji InstanceOf apple,apple AtLocation store,fuji AtLocation store,yes,InstanceOf_AtLocation
fuji InstanceOf apple,apple AtLocation restaurant,fuji AtLocation restaurant,yes,InstanceOf_AtLocation
fuji InstanceOf apple,apple AtLocation plate,fuji AtLocation plate,yes,InstanceOf_AtLocation
fuji InstanceOf apple,apple AtLocation freezer,fuji AtLocation freezer,yes,InstanceOf_AtLocation
fuji InstanceOf apple,apple AtLocation jar,fuji AtLocation jar,yes,InstanceOf_AtLocation
fuji InstanceOf apple,apple AtLocation cake,fuji AtLocation cake,yes,InstanceOf_AtLocation
fuji InstanceOf apple,apple AtLocation park,fuji AtLocation park,yes,InstanceOf_AtLocation
fuji InstanceOf apple,apple AtLocation supermarket,fuji AtLocation supermarket,yes,InstanceOf_AtLocation
fuji InstanceOf apple,apple AtLocation pocket,fuji AtLocation pocket,yes,InstanceOf_AtLocation
fuji InstanceOf apple,apple AtLocation garden,fuji AtLocation garden,yes,InstanceOf_AtLocation
fuji InstanceOf apple,apple AtLocation drawer,fuji AtLocation drawer,yes,InstanceOf_AtLocation
fuji InstanceOf apple,apple AtLocation closet,fuji AtLocation closet,yes,InstanceOf_AtLocation
fuji InstanceOf apple,apple AtLocation suitcase,fuji AtLocation suitcase,yes,InstanceOf_AtLocation
fuji InstanceOf apple,apple AtLocation casino,fuji AtLocation casino,yes,InstanceOf_AtLocation
fuji InstanceOf apple,apple AtLocation ground,fuji AtLocation ground,yes,InstanceOf_AtLocation
fuji InstanceOf apple,apple AtLocation desk,fuji AtLocation desk,yes,InstanceOf_AtLocation
fuji InstanceOf apple,apple AtLocation build,fuji AtLocation build,yes,InstanceOf_AtLocation
fuji InstanceOf apple,apple AtLocation under tree,fuji AtLocation under tree,yes,InstanceOf_AtLocation
fuji InstanceOf apple,apple AtLocation hang tree,fuji AtLocation hang tree,yes,InstanceOf_AtLocation
fuji InstanceOf apple,apple AtLocation pizza,fuji AtLocation pizza,yes,InstanceOf_AtLocation
fuji InstanceOf apple,apple AtLocation ipod,fuji AtLocation ipod,yes,InstanceOf_AtLocation
fuji InstanceOf apple,apple AtLocation tree orchard,fuji AtLocation tree orchard,yes,InstanceOf_AtLocation
fuji InstanceOf apple,apple AtLocation container,fuji AtLocation container,yes,InstanceOf_AtLocation
fuji InstanceOf apple,apple AtLocation refridgerator,fuji AtLocation refridgerator,yes,InstanceOf_AtLocation
fuji InstanceOf apple,apple AtLocation farmer market,fuji AtLocation farmer market,yes,InstanceOf_AtLocation
fuji InstanceOf apple,apple AtLocation shop,fuji AtLocation shop,yes,InstanceOf_AtLocation
ichiban shibari InstanceOf beer,beer AtLocation in a can,ichiban shibari AtLocation in a can,yes,InstanceOf_AtLocation
ichiban shibari InstanceOf beer,beer AtLocation bar,ichiban shibari AtLocation bar,yes,InstanceOf_AtLocation
ichiban shibari InstanceOf beer,beer AtLocation porch,ichiban shibari AtLocation porch,yes,InstanceOf_AtLocation
ichiban shibari InstanceOf beer,beer AtLocation sport event,ichiban shibari AtLocation sport event,yes,InstanceOf_AtLocation
ichiban shibari InstanceOf beer,beer AtLocation keg,ichiban shibari AtLocation keg,yes,InstanceOf_AtLocation
ichiban shibari InstanceOf beer,beer AtLocation home,ichiban shibari AtLocation home,yes,InstanceOf_AtLocation
ichiban shibari InstanceOf beer,beer AtLocation brewery,ichiban shibari AtLocation brewery,yes,InstanceOf_AtLocation
ichiban shibari InstanceOf beer,beer AtLocation hockey game,ichiban shibari AtLocation hockey game,yes,InstanceOf_AtLocation
ichiban shibari InstanceOf beer,beer AtLocation grocery store,ichiban shibari AtLocation grocery store,yes,InstanceOf_AtLocation
ichiban shibari InstanceOf beer,beer AtLocation plane,ichiban shibari AtLocation plane,yes,InstanceOf_AtLocation
ichiban shibari InstanceOf beer,beer AtLocation friend house,ichiban shibari AtLocation friend house,yes,InstanceOf_AtLocation
ichiban shibari InstanceOf beer,beer AtLocation boat,ichiban shibari AtLocation boat,yes,InstanceOf_AtLocation
ichiban shibari InstanceOf beer,beer AtLocation neighbor house,ichiban shibari AtLocation neighbor house,yes,InstanceOf_AtLocation
ichiban shibari InstanceOf beer,beer AtLocation fridge,ichiban shibari AtLocation fridge,yes,InstanceOf_AtLocation
ichiban shibari InstanceOf beer,beer AtLocation refrigerator,ichiban shibari AtLocation refrigerator,yes,InstanceOf_AtLocation
ichiban shibari InstanceOf beer,beer AtLocation bowl alley,ichiban shibari AtLocation bowl alley,yes,InstanceOf_AtLocation
ichiban shibari InstanceOf beer,beer AtLocation store,ichiban shibari AtLocation store,yes,InstanceOf_AtLocation
ichiban shibari InstanceOf beer,beer AtLocation concert,ichiban shibari AtLocation concert,yes,InstanceOf_AtLocation
ichiban shibari InstanceOf beer,beer AtLocation bottle,ichiban shibari AtLocation bottle,yes,InstanceOf_AtLocation
ichiban shibari InstanceOf beer,beer AtLocation party,ichiban shibari AtLocation party,yes,InstanceOf_AtLocation
ichiban shibari InstanceOf beer,beer AtLocation dinner,ichiban shibari AtLocation dinner,yes,InstanceOf_AtLocation
ichiban shibari InstanceOf beer,beer AtLocation casino,ichiban shibari AtLocation casino,yes,InstanceOf_AtLocation
ichiban shibari InstanceOf beer,beer AtLocation soccer game,ichiban shibari AtLocation soccer game,yes,InstanceOf_AtLocation
ichiban shibari InstanceOf beer,beer AtLocation beach,ichiban shibari AtLocation beach,yes,InstanceOf_AtLocation
ichiban shibari InstanceOf beer,beer AtLocation shelf,ichiban shibari AtLocation shelf,yes,InstanceOf_AtLocation
ichiban shibari InstanceOf beer,beer AtLocation door,ichiban shibari AtLocation door,yes,InstanceOf_AtLocation
ichiban shibari InstanceOf beer,beer AtLocation table,ichiban shibari AtLocation table,yes,InstanceOf_AtLocation
ichiban shibari InstanceOf beer,beer AtLocation market,ichiban shibari AtLocation market,yes,InstanceOf_AtLocation
ichiban shibari InstanceOf beer,beer AtLocation subway,ichiban shibari AtLocation subway,yes,InstanceOf_AtLocation
ichiban shibari InstanceOf beer,beer AtLocation apartment,ichiban shibari AtLocation apartment,yes,InstanceOf_AtLocation
ichiban shibari InstanceOf beer,beer AtLocation build,ichiban shibari AtLocation build,yes,InstanceOf_AtLocation
ichiban shibari InstanceOf beer,beer AtLocation city,ichiban shibari AtLocation city,yes,InstanceOf_AtLocation
ichiban shibari InstanceOf beer,beer AtLocation wed,ichiban shibari AtLocation wed,yes,InstanceOf_AtLocation
ichiban shibari InstanceOf beer,beer AtLocation airport,ichiban shibari AtLocation airport,yes,InstanceOf_AtLocation
ichiban shibari InstanceOf beer,beer AtLocation swim pool,ichiban shibari AtLocation swim pool,yes,InstanceOf_AtLocation
ichiban shibari InstanceOf beer,beer AtLocation park,ichiban shibari AtLocation park,yes,InstanceOf_AtLocation
ichiban shibari InstanceOf beer,beer AtLocation earth,ichiban shibari AtLocation earth,yes,InstanceOf_AtLocation
ichiban shibari InstanceOf beer,beer AtLocation outer space,ichiban shibari AtLocation outer space,yes,InstanceOf_AtLocation
ichiban shibari InstanceOf beer,beer AtLocation mall,ichiban shibari AtLocation mall,yes,InstanceOf_AtLocation
ichiban shibari InstanceOf beer,beer AtLocation outerspace,ichiban shibari AtLocation outerspace,yes,InstanceOf_AtLocation
ichiban shibari InstanceOf beer,beer AtLocation cupboard,ichiban shibari AtLocation cupboard,yes,InstanceOf_AtLocation
ichiban shibari InstanceOf beer,beer AtLocation bathroom,ichiban shibari AtLocation bathroom,yes,InstanceOf_AtLocation
ichiban shibari InstanceOf beer,beer AtLocation pantry,ichiban shibari AtLocation pantry,yes,InstanceOf_AtLocation
ichiban shibari InstanceOf beer,beer AtLocation earth surface,ichiban shibari AtLocation earth surface,yes,InstanceOf_AtLocation
ichiban shibari InstanceOf beer,beer AtLocation space shuttle,ichiban shibari AtLocation space shuttle,yes,InstanceOf_AtLocation
ichiban shibari InstanceOf beer,beer AtLocation venu,ichiban shibari AtLocation venu,yes,InstanceOf_AtLocation
ichiban shibari InstanceOf beer,beer AtLocation office,ichiban shibari AtLocation office,yes,InstanceOf_AtLocation
ichiban shibari InstanceOf beer,beer AtLocation library,ichiban shibari AtLocation library,yes,InstanceOf_AtLocation
ichiban shibari InstanceOf beer,beer AtLocation winery,ichiban shibari AtLocation winery,yes,InstanceOf_AtLocation
ichiban shibari InstanceOf beer,beer AtLocation jail,ichiban shibari AtLocation jail,yes,InstanceOf_AtLocation
ichiban shibari InstanceOf beer,beer AtLocation house,ichiban shibari AtLocation house,yes,InstanceOf_AtLocation
ichiban shibari InstanceOf beer,beer AtLocation school,ichiban shibari AtLocation school,yes,InstanceOf_AtLocation
ichiban shibari InstanceOf beer,beer AtLocation bed,ichiban shibari AtLocation bed,yes,InstanceOf_AtLocation
ichiban shibari InstanceOf beer,beer AtLocation supermarket,ichiban shibari AtLocation supermarket,yes,InstanceOf_AtLocation
ichiban shibari InstanceOf beer,beer AtLocation cabinet,ichiban shibari AtLocation cabinet,yes,InstanceOf_AtLocation
ichiban shibari InstanceOf beer,beer AtLocation kitchen,ichiban shibari AtLocation kitchen,yes,InstanceOf_AtLocation
ichiban shibari InstanceOf beer,beer AtLocation jar,ichiban shibari AtLocation jar,yes,InstanceOf_AtLocation
ichiban shibari InstanceOf beer,beer AtLocation refrigerator freezer,ichiban shibari AtLocation refrigerator freezer,yes,InstanceOf_AtLocation
ichiban shibari InstanceOf beer,beer AtLocation cup,ichiban shibari AtLocation cup,yes,InstanceOf_AtLocation
ichiban shibari InstanceOf beer,beer AtLocation lincoln memorial,ichiban shibari AtLocation lincoln memorial,yes,InstanceOf_AtLocation
ichiban shibari InstanceOf beer,beer AtLocation car,ichiban shibari AtLocation car,yes,InstanceOf_AtLocation
ichiban shibari InstanceOf beer,beer AtLocation server room,ichiban shibari AtLocation server room,yes,InstanceOf_AtLocation
ichiban shibari InstanceOf beer,beer AtLocation exit,ichiban shibari AtLocation exit,yes,InstanceOf_AtLocation
ichiban shibari InstanceOf beer,beer AtLocation bake pan,ichiban shibari AtLocation bake pan,yes,InstanceOf_AtLocation
ichiban shibari InstanceOf beer,beer AtLocation atop refrigerator,ichiban shibari AtLocation atop refrigerator,yes,InstanceOf_AtLocation
ichiban shibari InstanceOf beer,beer AtLocation liquor shop,ichiban shibari AtLocation liquor shop,yes,InstanceOf_AtLocation
ichiban shibari InstanceOf beer,beer AtLocation bavarium,ichiban shibari AtLocation bavarium,yes,InstanceOf_AtLocation
ichiban shibari InstanceOf beer,beer AtLocation fraternity house,ichiban shibari AtLocation fraternity house,yes,InstanceOf_AtLocation
ichiban shibari InstanceOf beer,beer AtLocation restaurant,ichiban shibari AtLocation restaurant,yes,InstanceOf_AtLocation
ichiban shibari InstanceOf beer,beer AtLocation resturant,ichiban shibari AtLocation resturant,yes,InstanceOf_AtLocation
barley tea InstanceOf tea,tea AtLocation cupboard,barley tea AtLocation cupboard,yes,InstanceOf_AtLocation
barley tea InstanceOf tea,tea AtLocation internet cafe,barley tea AtLocation internet cafe,yes,InstanceOf_AtLocation
barley tea InstanceOf tea,tea AtLocation refrigerator,barley tea AtLocation refrigerator,yes,InstanceOf_AtLocation
barley tea InstanceOf tea,tea AtLocation tea cup,barley tea AtLocation tea cup,yes,InstanceOf_AtLocation
barley tea InstanceOf tea,tea AtLocation teapot,barley tea AtLocation teapot,yes,InstanceOf_AtLocation
barley tea InstanceOf tea,tea AtLocation cup,barley tea AtLocation cup,yes,InstanceOf_AtLocation
barley tea InstanceOf tea,tea AtLocation grocery store,barley tea AtLocation grocery store,yes,InstanceOf_AtLocation
barley tea InstanceOf tea,tea AtLocation kitchen,barley tea AtLocation kitchen,yes,InstanceOf_AtLocation
barley tea InstanceOf tea,tea AtLocation pantry,barley tea AtLocation pantry,yes,InstanceOf_AtLocation
barley tea InstanceOf tea,tea AtLocation cabinet,barley tea AtLocation cabinet,yes,InstanceOf_AtLocation
barley tea InstanceOf tea,tea AtLocation table,barley tea AtLocation table,yes,InstanceOf_AtLocation
barley tea InstanceOf tea,tea AtLocation coffee shop,barley tea AtLocation coffee shop,yes,InstanceOf_AtLocation
kyushi university InstanceOf university,"university AtLocation town over 10,000","kyushi university AtLocation town over 10,000",yes,InstanceOf_AtLocation
kyushi university InstanceOf university,university AtLocation city,kyushi university AtLocation city,yes,InstanceOf_AtLocation
ufscar InstanceOf university,"university AtLocation town over 10,000","ufscar AtLocation town over 10,000",yes,InstanceOf_AtLocation
david byrne InstanceOf singer,singer AtLocation show,david byrne AtLocation show,yes,InstanceOf_AtLocation
david byrne InstanceOf singer,singer AtLocation concert,david byrne AtLocation concert,yes,InstanceOf_AtLocation
david byrne InstanceOf singer,singer AtLocation theatre,david byrne AtLocation theatre,yes,InstanceOf_AtLocation
it PartOf computer,computer HasSubevent type,it HasSubevent type,yes,PartOf_HasSubevent
think PartOf read,read HasSubevent select read,think HasSubevent select read,yes,PartOf_HasSubevent
think PartOf read,read HasSubevent experinece new world other viewpoint,think HasSubevent experinece new world other viewpoint,yes,PartOf_HasSubevent
think PartOf read,read HasSubevent learn new information,think HasSubevent learn new information,yes,PartOf_HasSubevent
think PartOf read,read HasSubevent imagination use,think HasSubevent imagination use,yes,PartOf_HasSubevent
