premise_1,premise_2,inferred,support_count
walkie talkie InstanceOf toy,toy AtLocation kid bedroom,walkie talkie AtLocation kid bedroom,1
walkie talkie InstanceOf toy,toy AtLocation kid box,walkie talkie AtLocation kid box,1
walkie talkie InstanceOf toy,toy AtLocation kid store,walkie talkie AtLocation kid store,1
walkie talkie InstanceOf toy,toy AtLocation nursery,walkie talkie AtLocation nursery,1
walkie talkie InstanceOf toy,toy AtLocation play room,walkie talkie AtLocation play room,1
srilanka InstanceOf war,war AtLocation far away,srilanka AtLocation far away,1
srilanka InstanceOf war,war AtLocation street,srilanka AtLocation street,1
srilanka InstanceOf war,war AtLocation battle,srilanka AtLocation battle,1
srilanka InstanceOf war,war AtLocation country,srilanka AtLocation country,1
srilanka InstanceOf war,war AtLocation city,srilanka AtLocation city,1
srilanka InstanceOf war,war AtLocation town,srilanka AtLocation town,1
fuji InstanceOf apple,apple AtLocation market,fuji AtLocation market,1
fuji InstanceOf apple,apple AtLocation apple orchard,fuji AtLocation apple orchard,1
fuji InstanceOf apple,apple AtLocation apple pie,fuji AtLocation apple pie,1
fuji InstanceOf apple,apple AtLocation table,fuji AtLocation table,1
fuji InstanceOf apple,apple AtLocation apple tree,fuji AtLocation apple tree,1
fuji InstanceOf apple,apple AtLocation grocery store,fuji AtLocation grocery store,1
fuji InstanceOf apple,apple AtLocation fridge,fuji AtLocation fridge,1
fuji InstanceOf apple,apple AtLocation produce section supermarket,fuji AtLocation produce section supermarket,1
fuji InstanceOf apple,apple AtLocation toffee apple,fuji AtLocation toffee apple,1
fuji InstanceOf apple,apple AtLocation horse mouth,fuji AtLocation horse mouth,1
fuji InstanceOf apple,apple AtLocation refrigerator,fuji AtLocation refrigerator,1
fuji InstanceOf apple,apple AtLocation greengrocer,fuji AtLocation greengrocer,1
fuji InstanceOf apple,apple AtLocation house,fuji AtLocation house,1
fuji InstanceOf apple,apple AtLocation dinner,fuji AtLocation dinner,1
fuji InstanceOf apple,apple AtLocation apartment,fuji AtLocation apartment,1
fuji InstanceOf apple,apple AtLocation home,fuji AtLocation home,1
fuji InstanceOf apple,apple AtLocation forest,fuji AtLocation forest,1
fuji InstanceOf apple,apple AtLocation resturant,fuji AtLocation resturant,1
fuji InstanceOf apple,apple AtLocation kitchen,fuji AtLocation kitchen,1
fuji InstanceOf apple,apple AtLocation fair,fuji AtLocation fair,1
fuji InstanceOf apple,apple AtLocation party,fuji AtLocation party,1
fuji InstanceOf apple,apple AtLocation earth surface,fuji AtLocation earth surface,1
fuji InstanceOf apple,apple AtLocation wed,fuji AtLocation wed,1
fuji InstanceOf apple,apple AtLocation concert,fuji AtLocation concert,1
fuji InstanceOf apple,apple AtLocation mall,fuji AtLocation mall,1
fuji InstanceOf apple,apple AtLocation subway,fuji AtLocation subway,1
fuji InstanceOf apple,apple AtLocation boat,fuji AtLocation boat,1
fuji InstanceOf apple,apple AtLocation street,fuji AtLocation street,1
fuji InstanceOf apple,apple AtLocation zoo,fuji AtLocation zoo,1
fuji InstanceOf apple,apple AtLocation garage,fuji AtLocation garage,1
fuji InstanceOf apple,apple AtLocation field,fuji AtLocation field,1
fuji InstanceOf apple,apple AtLocation cupboard,fuji AtLocation cupboard,1
fuji InstanceOf apple,apple AtLocation winery,fuji AtLocation winery,1
fuji InstanceOf apple,apple AtLocation bed,fuji AtLocation bed,1
fuji InstanceOf apple,apple AtLocation store,fuji AtLocation store,1
fuji InstanceOf apple,apple AtLocation restaurant,fuji AtLocation restaurant,1
fuji InstanceOf apple,apple AtLocation plate,fuji AtLocation plate,1
fuji InstanceOf apple,apple AtLocation freezer,fuji AtLocation freezer,1
fuji InstanceOf apple,apple AtLocation jar,fuji AtLocation jar,1
fuji InstanceOf apple,apple AtLocation cake,fuji AtLocation cake,1
fuji InstanceOf apple,apple AtLocation park,fuji AtLocation park,1
fuji InstanceOf apple,apple AtLocation supermarket,fuji AtLocation supermarket,1
fuji InstanceOf apple,apple AtLocation pocket,fuji AtLocation pocket,1
fuji InstanceOf apple,apple AtLocation garden,fuji AtLocation garden,1
fuji InstanceOf apple,apple AtLocation drawer,fuji AtLocation drawer,1
fuji InstanceOf apple,apple AtLocation closet,fuji AtLocation closet,1
fuji InstanceOf apple,apple AtLocation suitcase,fuji AtLocation suitcase,1
fuji InstanceOf apple,apple AtLocation casino,fuji AtLocation casino,1
fuji InstanceOf apple,apple AtLocation ground,fuji AtLocation ground,1
fuji InstanceOf apple,apple AtLocation desk,fuji AtLocation desk,1
fuji InstanceOf apple,apple AtLocation build,fuji AtLocation build,1
fuji InstanceOf apple,apple AtLocation under tree,fuji AtLocation under tree,1
fuji InstanceOf apple,apple AtLocation hang tree,fuji AtLocation hang tree,1
fuji InstanceOf apple,apple AtLocation pizza,fuji AtLocation pizza,1
fuji InstanceOf apple,apple AtLocation ipod,fuji AtLocation ipod,1
fuji InstanceOf apple,apple AtLocation tree orchard,fuji AtLocation tree orchard,1
fuji InstanceOf apple,apple AtLocation container,fuji AtLocation container,1
fuji InstanceOf apple,apple AtLocation refridgerator,fuji AtLocation refridgerator,1
fuji InstanceOf apple,apple AtLocation farmer market,fuji AtLocation farmer market,1
fuji InstanceOf apple,apple AtLocation shop,fuji AtLocation shop,1
ichiban shibari InstanceOf beer,beer AtLocation in a can,ichiban shibari AtLocation in a can,1
ichiban shibari InstanceOf beer,beer AtLocation bar,ichiban shibari AtLocation bar,1
ichiban shibari InstanceOf beer,beer AtLocation porch,ichiban shibari AtLocation porch,1
ichiban shibari InstanceOf beer,beer AtLocation sport event,ichiban shibari AtLocation sport event,1
ichiban shibari InstanceOf beer,beer AtLocation keg,ichiban shibari AtLocation keg,1
ichiban shibari InstanceOf beer,beer AtLocation home,ichiban shibari AtLocation home,1
ichiban shibari InstanceOf beer,beer AtLocation brewery,ichiban shibari AtLocation brewery,1
ichiban shibari InstanceOf beer,beer AtLocation hockey game,ichiban shibari AtLocation hockey game,1
ichiban shibari InstanceOf beer,beer AtLocation grocery store,ichiban shibari AtLocation grocery store,1
ichiban shibari InstanceOf beer,beer AtLocation plane,ichiban shibari AtLocation plane,1
ichiban shibari InstanceOf beer,beer AtLocation friend house,ichiban shibari AtLocation friend house,1
ichiban shibari InstanceOf beer,beer AtLocation boat,ichiban shibari AtLocation boat,1
ichiban shibari InstanceOf beer,beer AtLocation neighbor house,ichiban shibari AtLocation neighbor house,1
ichiban shibari InstanceOf beer,beer AtLocation fridge,ichiban shibari AtLocation fridge,1
ichiban shibari InstanceOf beer,beer AtLocation refrigerator,ichiban shibari AtLocation refrigerator,1
ichiban shibari InstanceOf beer,beer AtLocation bowl alley,ichiban shibari AtLocation bowl alley,1
ichiban shibari InstanceOf beer,beer AtLocation store,ichiban shibari AtLocation store,1
ichiban shibari InstanceOf beer,beer AtLocation concert,ichiban shibari AtLocation concert,1
ichiban shibari InstanceOf beer,beer AtLocation bottle,ichiban shibari AtLocation bottle,1
ichiban shibari InstanceOf beer,beer AtLocation party,ichiban shibari AtLocation party,1
ichiban shibari InstanceOf beer,beer AtLocation dinner,ichiban shibari AtLocation dinner,1
ichiban shibari InstanceOf beer,beer AtLocation casino,ichiban shibari AtLocation casino,1
ichiban shibari InstanceOf beer,beer AtLocation soccer game,ichiban shibari AtLocation soccer game,1
ichiban shibari InstanceOf beer,beer AtLocation beach,ichiban shibari AtLocation beach,1
ichiban shibari InstanceOf beer,beer AtLocation shelf,ichiban shibari AtLocation shelf,1
ichiban shibari InstanceOf beer,beer AtLocation door,ichiban shibari AtLocation door,1
ichiban shibari InstanceOf beer,beer AtLocation table,ichiban shibari AtLocation table,1
ichiban shibari InstanceOf beer,beer AtLocation market,ichiban shibari AtLocation market,1
ichiban shibari InstanceOf beer,beer AtLocation subway,ichiban shibari AtLocation subway,1
ichiban shibari InstanceOf beer,beer AtLocation apartment,ichiban shibari AtLocation apartment,1
ichiban shibari InstanceOf beer,beer AtLocation build,ichiban shibari AtLocation build,1
ichiban shibari InstanceOf beer,beer AtLocation city,ichiban shibari AtLocation city,1
ichiban shibari InstanceOf beer,beer AtLocation wed,ichiban shibari AtLocation wed,1
ichiban shibari InstanceOf beer,beer AtLocation airport,ichiban shibari AtLocation airport,1
ichiban shibari InstanceOf beer,beer AtLocation swim pool,ichiban shibari AtLocation swim pool,1
ichiban shibari InstanceOf beer,beer AtLocation park,ichiban shibari AtLocation park,1
ichiban shibari InstanceOf beer,beer AtLocation earth,ichiban shibari AtLocation earth,1
ichiban shibari InstanceOf beer,beer AtLocation outer space,ichiban shibari AtLocation outer space,1
ichiban shibari InstanceOf beer,beer AtLocation mall,ichiban shibari AtLocation mall,1
ichiban shibari InstanceOf beer,beer AtLocation outerspace,ichiban shibari AtLocation outerspace,1
ichiban shibari InstanceOf beer,beer AtLocation cupboard,ichiban shibari AtLocation cupboard,1
ichiban shibari InstanceOf beer,beer AtLocation bathroom,ichiban shibari AtLocation bathroom,1
ichiban shibari InstanceOf beer,beer AtLocation pantry,ichiban shibari AtLocation pantry,1
ichiban shibari InstanceOf beer,beer AtLocation earth surface,ichiban shibari AtLocation earth surface,1
ichiban shibari InstanceOf beer,beer AtLocation space shuttle,ichiban shibari AtLocation space shuttle,1
ichiban shibari InstanceOf beer,beer AtLocation venu,ichiban shibari AtLocation venu,1
ichiban shibari InstanceOf beer,beer AtLocation office,ichiban shibari AtLocation office,1
ichiban shibari InstanceOf beer,beer AtLocation library,ichiban shibari AtLocation library,1
ichiban shibari InstanceOf beer,beer AtLocation winery,ichiban shibari AtLocation winery,1
ichiban shibari InstanceOf beer,beer AtLocation jail,ichiban shibari AtLocation jail,1
ichiban shibari InstanceOf beer,beer AtLocation church,ichiban shibari AtLocation church,1
ichiban shibari InstanceOf beer,beer AtLocation house,ichiban shibari AtLocation house,1
ichiban shibari InstanceOf beer,beer AtLocation school,ichiban shibari AtLocation school,1
ichiban shibari InstanceOf beer,beer AtLocation bed,ichiban shibari AtLocation bed,1
ichiban shibari InstanceOf beer,beer AtLocation supermarket,ichiban shibari AtLocation supermarket,1
ichiban shibari InstanceOf beer,beer AtLocation cabinet,ichiban shibari AtLocation cabinet,1
ichiban shibari InstanceOf beer,beer AtLocation kitchen,ichiban shibari AtLocation kitchen,1
ichiban shibari InstanceOf beer,beer AtLocation jar,ichiban shibari AtLocation jar,1
ichiban shibari InstanceOf beer,beer AtLocation refrigerator freezer,ichiban shibari AtLocation refrigerator freezer,1
ichiban shibari InstanceOf beer,beer AtLocation cup,ichiban shibari AtLocation cup,1
ichiban shibari InstanceOf beer,beer AtLocation lincoln memorial,ichiban shibari AtLocation lincoln memorial,1
ichiban shibari InstanceOf beer,beer AtLocation car,ichiban shibari AtLocation car,1
ichiban shibari InstanceOf beer,beer AtLocation server room,ichiban shibari AtLocation server room,1
ichiban shibari InstanceOf beer,beer AtLocation exit,ichiban shibari AtLocation exit,1
ichiban shibari InstanceOf beer,beer AtLocation bake pan,ichiban shibari AtLocation bake pan,1
ichiban shibari InstanceOf beer,beer AtLocation atop refrigerator,ichiban shibari AtLocation atop refrigerator,1
ichiban shibari InstanceOf beer,beer AtLocation liquor shop,ichiban shibari AtLocation liquor shop,1
ichiban shibari InstanceOf beer,beer AtLocation bavarium,ichiban shibari AtLocation bavarium,1
ichiban shibari InstanceOf beer,beer AtLocation fraternity house,ichiban shibari AtLocation fraternity house,1
ichiban shibari InstanceOf beer,beer AtLocation restaurant,ichiban shibari AtLocation restaurant,1
ichiban shibari InstanceOf beer,beer AtLocation resturant,ichiban shibari AtLocation resturant,1
barley tea InstanceOf tea,tea AtLocation cupboard,barley tea AtLocation cupboard,1
barley tea InstanceOf tea,tea AtLocation internet cafe,barley tea AtLocation internet cafe,1
barley tea InstanceOf tea,tea AtLocation refrigerator,barley tea AtLocation refrigerator,1
barley tea InstanceOf tea,tea AtLocation tea cup,barley tea AtLocation tea cup,1
barley tea InstanceOf tea,tea AtLocation teapot,barley tea AtLocation teapot,1
barley tea InstanceOf tea,tea AtLocation cup,barley tea AtLocation cup,1
barley tea InstanceOf tea,tea AtLocation grocery store,barley tea AtLocation grocery store,1
barley tea InstanceOf tea,tea AtLocation kitchen,barley tea AtLocation kitchen,1
barley tea InstanceOf tea,tea AtLocation pantry,barley tea AtLocation pantry,1
barley tea InstanceOf tea,tea AtLocation cabinet,barley tea AtLocation cabinet,1
barley tea InstanceOf tea,tea AtLocation table,barley tea AtLocation table,1
barley tea InstanceOf tea,tea AtLocation coffee shop,barley tea AtLocation coffee shop,1
kyushi university InstanceOf university,university AtLocation university student,kyushi university AtLocation university student,1
kyushi university InstanceOf university,university AtLocation chemistry lab,kyushi university AtLocation chemistry lab,1
kyushi university InstanceOf university,university AtLocation florida,kyushi university AtLocation florida,1
kyushi university InstanceOf university,university AtLocation drawer,kyushi university AtLocation drawer,1
kyushi university InstanceOf university,"university AtLocation town over 10,000","kyushi university AtLocation town over 10,000",1
kyushi university InstanceOf university,university AtLocation city,kyushi university AtLocation city,1
ufscar InstanceOf university,university AtLocation university student,ufscar AtLocation university student,1
ufscar InstanceOf university,university AtLocation chemistry lab,ufscar AtLocation chemistry lab,1
ufscar InstanceOf university,university AtLocation florida,ufscar AtLocation florida,1
ufscar InstanceOf university,university AtLocation drawer,ufscar AtLocation drawer,1
ufscar InstanceOf university,"university AtLocation town over 10,000","ufscar AtLocation town over 10,000",1
ufscar InstanceOf university,university AtLocation city,ufscar AtLocation city,1
david byrne InstanceOf singer,singer AtLocation show,david byrne AtLocation show,1
david byrne InstanceOf singer,singer AtLocation concert,david byrne AtLocation concert,1
david byrne InstanceOf singer,singer AtLocation theatre,david byrne AtLocation theatre,1
david byrne InstanceOf singer,singer AtLocation opus,david byrne AtLocation opus,1
